Student,Proficiency,Start_Time,End_Time
Anna,B1,2020/4/26 4:30,2020/4/26 5:30
Anna,B1,2020/4/28 4:00,2020/4/28 5:00
Anna,B1,2020/5/5 4:00,2020/5/5 5:00
Anna,B1,2020/5/8 3:00,2020/5/8 4:00
Anna,B1,2020/5/11 3:45,2020/5/11 4:45
Anna,B1,2020/5/19 4:00,2020/5/19 5:00
Anna,B1,2020/5/22 3:00,2020/5/22 4:00
Anna,B1,2020/6/6 23:45,2020/6/7 0:45
Anna,B1,2020/6/9 4:00,2020/6/9 5:00
Anna,B1,2020/6/12 3:00,2020/6/12 4:00
Anna,B1,2020/6/16 4:00,2020/6/16 5:00
Anna,B1,2020/6/26 3:00,2020/6/26 4:00
Anna,B1,2020/6/30 3:00,2020/6/30 4:00
Anna,B1,2020/7/10 0:00,2020/7/10 1:00
Anna,B1,2020/7/12 0:00,2020/7/12 1:00
Anna,B1,2020/7/17 0:00,2020/7/17 1:00
Anna,B1,2020/7/19 0:00,2020/7/19 1:00
Anna,B1,2020/7/25 1:00,2020/7/25 2:00
Anna,B1,2020/7/26 0:00,2020/7/26 1:00
Anna,B1,2020/7/31 0:00,2020/7/31 1:00
Anna,B1,2020/8/2 0:00,2020/8/2 1:00
Anna,B1,2020/8/7 0:00,2020/8/7 1:00
Anna,B1,2020/8/9 0:00,2020/8/9 1:00
Anna,B1,2020/8/16 0:00,2020/8/16 1:00
Anna,B1,2020/8/18 22:30,2020/8/18 23:30
Anna,B1,2020/8/21 0:00,2020/8/21 1:00
Anna,B1,2020/8/23 0:00,2020/8/23 1:00
Anna,B1,2020/8/28 0:00,2020/8/28 1:00
Anna,B1,2020/8/30 0:00,2020/8/30 1:00
Anna,B1,2020/10/9 0:00,2020/10/9 1:00
Anna,B1,2020/10/11 0:00,2020/10/11 1:00
Anna,B1,2021/1/16 23:30,2021/1/17 0:30
Anna,B1,2021/1/18 19:00,2021/1/18 20:00
Anna,B1,2021/1/22 17:30,2021/1/22 18:30
Anna,B1,2021/1/23 15:00,2021/1/23 16:00
Anna,B1,2021/1/25 17:00,2021/1/25 18:00
Anna,B1,2021/2/5 15:00,2021/2/5 16:00
Anna,B1,2021/2/6 15:00,2021/2/6 16:00
